timestamp,time_utc,up_price,down_price,combined,up_volume,down_volume,trades
1767954060,10:21:00,0.7564482169429373,0.24462875712631663,1.001076974069254,111.944202,86.416312,23
1767954062,10:21:02,0.7577284410467233,0.24319985098936642,1.0009282920360898,204.13314799999998,144.91314799999998,26
1767954064,10:21:04,0.7580365972993932,0.24442886163406494,1.002465458933458,109.35156599999999,86.862095,22
1767954066,10:21:06,0.7573392331403832,0.2422450141043011,0.9995842472446843,18.791575,22.271575,10
1767954068,10:21:08,0.7560682067194932,0.24435260863479044,1.0004208153542835,38.964724000000004,35.197357,13
1767954070,10:21:10,0.7507094415532951,0.249404985668021,1.000114427221316,117.215787,119.085787,18
1767954072,10:21:12,0.7766214716277345,0.22202776488184472,0.9986492365095793,510.39827699999995,499.85827700000004,62
1767954074,10:21:14,0.796363591621647,0.20379493552992503,1.000158527151572,113.7837,142.316726,34
1767954076,10:21:16,0.8291472068030755,0.17060324184238207,0.9997504486454576,7627.002975,6958.258835999999,107
1767954078,10:21:18,0.8155953106003376,0.1808167333940082,0.9964120439943458,265.444383,134.682922,24
1767954080,10:21:20,0.8105142979824215,0.18945779586952632,0.9999720938519479,522.8504469999998,311.511441,66
1767954082,10:21:22,0.8045803709986034,0.19511095174800636,0.9996913227466098,356.297514,321.075293,55
1767954084,10:21:24,0.7983409687845591,0.20137394361840355,0.9997149124029626,260.13350199999996,333.877456,57
1767954086,10:21:26,0.7983009924682853,0.20093339136134794,0.9992343838296333,488.93250000000006,465.2925000000001,37
1767954088,10:21:28,0.7949371677653961,0.2040554979722438,0.9989926657376399,149.14987599999998,123.875589,44
1767954090,10:21:30,0.7920394416004467,0.20815609123247159,1.0001955328329184,111.43117800000002,123.24879299999998,43
1767954092,10:21:32,0.7840923977367756,0.21597753273871384,1.0000699304754894,239.517555,248.44256399999998,61
1767954094,10:21:34,0.7841323411890169,0.2166074830608603,1.000739824249877,344.74890500000004,374.153445,61
1767954096,10:21:36,0.7875026762833424,0.21277280131402485,1.0002754775973672,211.09498799999997,150.48727,29
1767954098,10:21:38,0.7800000057270979,0.21999999427290198,0.9999999999999999,108.257271,108.257271,6
1767954100,10:21:40,0.7916511368641742,0.2083425860281735,0.9999937228923477,174.26708,173.60708,25
1767954102,10:21:42,0.7860316814046695,0.20458772892227187,0.9906194103269413,196.4875,88.8675,30
1767954104,10:21:44,0.785093226722383,0.21386596144941117,0.9989591881717942,389.884403,538.8244030000001,34
1767954106,10:21:46,0.8164591899782233,0.18329219941129946,0.9997513893895228,943.1528660000001,926.2262090000003,67
1767954108,10:21:48,0.8396885635272534,0.1590116371971267,0.9987002007243801,5040.1781980000005,4607.4994190000025,79
1767954110,10:21:50,0.810256348675758,0.1899985279210412,1.0002548765967991,351.09262700000005,341.10262700000004,20
1767954112,10:21:52,0.7826174545594862,0.21770200360840364,1.0003194581678898,1145.8348069999997,1250.4078119999997,92
1767954114,10:21:54,0.7732855104615739,0.22808100812089913,1.001366518582473,709.09167,956.1416699999999,80
1767954116,10:21:56,0.7830296926387235,0.2158023785697395,0.998832071208463,132.020567,181.05056700000003,38
1767954118,10:21:58,0.7927142957464869,0.20694600873533683,0.9996603044818237,151.09916099999998,204.36487399999996,35
1767954120,10:22:00,0.7923130741005352,0.20693444568780908,0.9992475197883443,147.844641,153.30892299999996,37
1767954122,10:22:02,0.7935175587354296,0.2067069732799637,1.0002245320153933,150.95714099999998,181.687141,43
1767954124,10:22:04,0.7910476868129818,0.2091947433144918,1.0002424301274735,639.3152339999999,755.600234,40
1767954126,10:22:06,0.8027328242920846,0.19735941304983087,1.0000922373419154,530.193838,548.7138380000001,71
1767954128,10:22:08,0.8111517156883287,0.18923852931527393,1.0003902450036026,143.16120000000004,162.1612,32
1767954130,10:22:10,0.8258389084119246,0.1747102425587395,1.000549150970664,143.71142700000001,129.580365,33
1767954132,10:22:12,0.8453111513920863,0.15446531708444772,0.999776468476534,221.160926,194.16092600000002,35
1767954134,10:22:14,0.8364663436324392,0.1629991047125412,0.9994654483449804,585.429398,661.0993980000001,42
1767954136,10:22:16,0.8603496064200626,0.1392176725488604,0.9995672789689231,688.9521649999999,599.5735920000001,72
1767954138,10:22:18,0.8604425911983467,0.14191352705605867,1.0023561182544054,144.478743,160.028205,44
1767954140,10:22:20,0.8508987626255451,0.14928179363309899,1.000180556258644,310.115421,320.243332,13
1767954142,10:22:22,0.851194841076738,0.1490530105388276,1.0002478516155657,526.0173609999999,370.226665,18
1767954144,10:22:24,0.860937554427857,0.1371193193320506,0.9980568737599076,1323.081672,531.6316720000001,41
1767954146,10:22:26,0.8607093295554796,0.13873713301052204,0.9994464625660017,353.806546,357.096546,26
1767954148,10:22:28,0.8601396134515641,0.139349449946927,0.9994890633984911,358.14285400000006,383.062854,15
